SolarSystem Planet Moon
HumanBody Organ Cell
PostalSystem PostOffice Mailbox
EducationSystem School Classroom
WaterSystem Reservoir Pump
PowerGrid Substation Transformer
TransitSystem Station Platform
University Laboratory Microscope
University Laboratory Centrifuge
University Laboratory Beaker
University Laboratory Flask
University Laboratory Burner
University Laboratory Pipette
University Laboratory Scale
University Laboratory Thermometer
University Laboratory Incubator
University Laboratory Freezer
University Laboratory Scanner
University Laboratory Reagent
University Laboratory Sample
University Laboratory Specimen
University Laboratory Notebook
