Composer Musician
AlbertEinstein Physicist
IsaacNewton Physicist
MarieCurie Chemist
CharlesDarwin Biologist
GalileoGalilei Astronomer
JohannesKepler Astronomer
AdaLovelace Mathematician
AlanTuring Mathematician
CarlGauss Mathematician
LeonhardEuler Mathematician
KatherineJohnson Mathematician
GraceHopper ComputerScientist
DonaldKnuth ComputerScientist
EdsgerDijkstra ComputerScientist
NikolaTesla ElectricalEngineer
TimBernersLee ComputerScientist
LinusTorvalds SoftwareEngineer
GuidoVanRossum SoftwareEngineer
MargaretHamilton SoftwareEngineer
VincentVanGogh Painter
PabloPicasso Painter
Michelangelo Sculptor
LudwigvanBeethoven Composer
WolfgangAmadeusMozart Composer
WilliamShakespeare Author
JaneAusten Author
MarkTwain Author
SerenaWilliams TennisPlayer
MichaelJordan BasketballPlayer
UsainBolt Runner
LionelMessi FootballPlayer
CristianoRonaldo FootballPlayer
MuhammadAli Boxer
Adele Singer
Picasso Painter
Mozart Composer
Galileo Astronomer
MerylStreep Actor
UsainBolt Sprinter
AmeliaEarhart Aviator
SimoneBiles Gymnast
SallyRide Astronaut
KatieLedecky Swimmer
LionelMessi Footballer
KipThorne Relativist
YuriGagarin Cosmonaut
TaylorSwift Songwriter
BarackObama President
GregorMendel Geneticist
CharlesDarwin Naturalist
AngelaMerkel Chancellor
MotherTeresa Humanitarian
JaneGoodall Primatologist
StephenHawking Cosmologist
LouisPasteur Microbiologist
NumberTheorist Mathematician
RogerFederer TennisPlayer
NielsBohr AtomicPhysicist
NelsonMandela FreedomFighter
AlanTuring ComputerScientist
GretaThunberg ClimateActivist
AdaLovelace ComputerProgrammer
CarlSagan ScienceCommunicator
RichardFeynman QuantumPhysicist
WinstonChurchill PrimeMinister
MarieCurie ExperimentalPhysicist
MalalaYousafzai EducationActivist
AlbertEinstein TheoreticalPhysicist
OprahWinfrey TalkShowHost
LeBronJames BasketballPlayer
LeonardoDiCaprio Actor
TaylorSwift Singer
Eminem Rapper
KevinHart Comedian
ChristopherNolan Director
QuincyJones Producer
